,country,cor,p,from,until,supposedDatapoint,realDatapoint,numOfMissingValue,realDataPoint,cor_depression,p_depression,cor_drug_disorder,p_drug_disorder,cor_smoke,p_smoke,cor_gdp,p_gdp,cor_gini,p_gini,cor_sex_ratio,p_ratio,cor_population_density,p_population_density,cor_wage,p_wage,cor_unemployment,p_unemployment,cor_elder,p_elder
21,Panama,0.526681635,0.002335499,1979,2015,37,,6,31,0.6135199109029815,0.0006659475851014682,0.2284071749328859,0.25183391328917143,-0.7099127940000001,3.71e-06,0.12147251199999999,0.46753857299999996,0.425344317,0.03825635,0.009047027,0.967320545,0.517882095091301,0.0008679213910443032,,,0.188962388,0.345191016,-0.22321122418148648,0.30594075632496825
22,Egypt,0.514931299,0.028760598,1980,2015,36,,18,18,0.4604161484386781,0.06291512532326515,0.5313021993073764,0.02818435196417904,0.60648864,0.027978906,0.551017596,0.021877296,,,,,,,,,,,,
23,Costa Rica,0.387919752,0.021300662,1980,2014,35,,0,35,0.449656451874913,0.01861336754086905,0.2735359253210728,0.16740946506984838,0.274112598,0.12266632,0.29638778,0.070783235,0.155928331,0.41061310700000003,-0.597074375,0.0007956339999999999,0.4472397105381854,0.004874311523756964,,,0.151791013,0.4497670999999999,0.548673359896343,0.0025004006846555946
24,Trinidad and Tobago,0.373870776,0.032087153,1979,2011,33,,0,33,0.5132068736195138,0.006188006328291147,-0.4198842103738028,0.02922376210620105,-0.361074228,0.038973715,0.065961499,0.693979762,1.0,0.0,0.154008948,0.462324946,0.5819350836320791,0.00012693645802815332,,,0.45195969,0.017946159,-0.4592467170611623,0.020922179068028388
25,Romania,-0.427951484,0.023098221000000002,1989,2016,28,,0,28,0.25907136772323625,0.1919313261004196,0.1842441322462152,0.35758865490601344,0.067496084,0.708991319,-0.625092403,0.000221536,-0.528674887,0.063240564,,,0.5541496948712055,0.00030656851734514877,,,0.15347719,0.44468856,,
26,Australia,-0.455425729,0.005252823,1979,2015,37,,1,36,-0.6057031271306201,0.0008137107200636635,0.7622656232268527,3.824781301486412e-06,0.515899043,0.0021189060000000003,-0.540845499,0.000455265,-0.63770375,0.088922923,0.20822172100000003,0.278400112,-0.4722879510565505,0.0027546089360405983,-0.6282085337077356,0.00045039592251178585,0.659829656,0.000180827,-0.634766597940276,0.0002167491503703403
27,Fiji,0.023641493,0.94499353,2001,2012,12,,1,11,-0.08003114109491269,0.7682770989187514,0.1343611019475947,0.6198183871236962,0.11365714,0.7250588029999999,-0.109122209,0.687472967,0.244873815,0.842506926,-0.263859844,0.433036473,,,,,,,0.00980029862663583,0.9771854086500122
28,Barbados,-0.45642637399999997,0.009854456,1979,2013,35,,4,31,0.5013648923809568,0.06778220222285544,-0.9506104601038204,1.8831611718832875e-07,0.079083544,0.713378525,-0.304649322,0.13868035,,,-0.05927792900000001,0.788184166,-0.5189922348803693,0.0008421397248735687,,,0.830668418,8.199999999999999e-08,-0.6782540119591498,0.0003750878128038967
29,Russian Federation,-0.457185045,0.006561132,1980,2015,36,,2,34,0.9344187788312934,1.0408852408694793e-12,0.5058619515139593,0.007103049030196434,0.090592626,0.6161025,-0.8543580409999999,7.28e-09,0.059275731,0.79854819,0.822653592,4.35e-08,0.19305356478761232,0.2455312646468111,,,0.7325027009999999,1.4000000000000001e-05,-0.6177818887586308,0.0003558916128674502
30,Thailand,-0.5009448329999999,0.002547237,1979,2016,38,,4,34,-0.20855435005826528,0.29651468299539874,0.3202024511024833,0.1034633234653722,0.381200717,0.028611911,-0.566089263,0.000211906,0.44026833200000004,0.045783354000000005,0.027779572000000002,0.892842919,-0.481091949447928,0.0022308913716493554,,,0.63926343,0.000331145,-0.19055674180412674,0.35110455791163353
